,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description
2017-01-01 00:00:00,0,269.75,0.0,0.0,75.0,0,0
2017-01-01 01:00:00,0,269.95,0.0,0.0,1.0,1,1
2017-01-01 02:00:00,0,269.75,0.0,0.0,1.0,1,1
2017-01-01 03:00:00,0,269.65,0.0,0.0,40.0,0,2
2017-01-01 04:00:00,0,269.48,0.0,0.0,1.0,1,1
2017-01-01 05:00:00,0,269.22,0.0,0.0,1.0,1,1
2017-01-01 06:00:00,0,268.9,0.0,0.0,1.0,1,1
2017-01-01 07:00:00,0,268.34,0.0,0.0,40.0,0,2
2017-01-01 08:00:00,0,267.9,0.0,0.0,1.0,1,1
2017-01-01 09:00:00,0,267.71,0.0,0.0,20.0,0,3
2017-01-01 10:00:00,0,269.02,0.0,0.0,1.0,1,1
2017-01-01 11:00:00,0,270.34,0.0,0.0,1.0,1,1
2017-01-01 12:00:00,0,271.27,0.0,0.0,75.0,0,0
2017-01-01 13:00:00,0,271.46,0.0,0.0,90.0,0,4
2017-01-01 14:00:00,0,271.9,0.0,0.0,75.0,0,0
2017-01-01 15:00:00,0,271.71,0.0,0.0,75.0,0,0
2017-01-01 16:00:00,0,271.59,0.0,0.0,40.0,0,2
2017-01-01 17:00:00,0,271.09,0.0,0.0,1.0,1,1
2017-01-01 18:00:00,0,270.53,0.0,0.0,75.0,0,0
2017-01-01 19:00:00,0,270.47,0.0,0.0,90.0,0,4
2017-01-01 20:00:00,0,270.55,0.0,0.0,40.0,0,2
2017-01-01 21:00:00,0,270.49,0.0,0.0,90.0,0,4
2017-01-01 22:00:00,0,270.48,0.0,0.0,90.0,0,4
2017-01-01 23:00:00,0,270.55,0.0,0.0,90.0,2,5
2017-01-02 00:00:00,1,270.62,0.0,0.0,90.0,2,5
2017-01-02 01:00:00,0,270.55,0.0,0.0,90.0,2,5
2017-01-02 02:00:00,0,270.49,0.0,0.0,90.0,2,5
2017-01-02 03:00:00,0,270.42,0.0,0.0,90.0,2,5
2017-01-02 04:00:00,0,270.49,0.0,0.0,90.0,0,4
2017-01-02 05:00:00,0,270.49,0.0,0.0,90.0,0,4
2017-01-02 06:00:00,0,270.62,0.0,0.0,90.0,0,4
2017-01-02 07:00:00,0,270.82,0.0,0.0,90.0,0,4
2017-01-02 08:00:00,0,270.88,0.0,0.0,90.0,0,4
2017-01-02 09:00:00,0,271.55,0.0,0.0,90.0,0,4
2017-01-02 10:00:00,0,271.65,0.0,0.0,90.0,2,5
