Store,Type,Size
1,0,0.6302673385765398
2,0,0.9062772331891722
3,1,0.013624037196815098
4,0,0.9255251776754156
5,1,0.0
6,0,0.9073489691307572
7,1,0.1939842054268811
8,0,0.6506357342744402
9,1,0.4923381705792245
10,1,0.49601346706577104
11,0,0.9343805312129563
12,1,0.41875104873150854
13,0,1.0
14,0,0.8986505870190045
15,1,0.48099292546022404
16,1,0.12082469539424184
17,1,0.3156370604123477
18,1,0.46429982624887006
19,0,0.9144613985612757
20,0,0.9140446123617705
21,1,0.569925357380634
22,1,0.45836738891565226
23,1,0.43117344259987983
24,0,0.9144613985612757
25,1,0.5046468954840944
26,0,0.6367518823039076
27,0,0.9164370734030864
28,0,0.9279014002933743
29,1,0.3180728239159499
30,2,0.04391410956605518
31,0,0.9140879148240568
32,0,0.9100661986392202
33,0,0.02606266948854377
34,0,0.6670690187120765
35,1,0.3724336525085658
36,0,0.027253487201415988
37,2,0.027253487201415988
38,2,0.02606266948854377
39,0,0.8077749571034982
40,0,0.650662798313369
41,0,0.873876165783477
42,2,0.02606266948854377
43,2,0.03348904177063766
44,2,0.027253487201415988
45,1,0.4511358777138465
